Hauffenia nesemanni;;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/164850/0
Phoxinus strymonicus;Aegean Minnow;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/135718/0
Pieris cheiranthi;Canary Islands Large White;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/39484/0
Cobitis hellenica;;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/5032/0
Parachondrostoma arrigonis;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61363/0
Bythinella viridis;;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/189707/0
Bythiospeum noricum;;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/3406/0
Eubalaena glacialis;North Atlantic Right Whale;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/41712/0
Graziana trinitatis;;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/155926/0
Consolida samia;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/61673/0
Bythiospeum klemmi;;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/18444/0
Polyommatus humedasae;Piedmont Anomalous Blue;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/17941/0
Melanopsis etrusca;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/40077/0
Plebejus zullichi;Zullich´s Blue;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/701/0
Silene gazulensis;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61642/0
Valencia hispanica;Valencia Toothcarp;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/22829/0
Alburnus schischkovi;Resowska Shemaja;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/135594/0
Bythinella gloeeri;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/172035/0
Bythiospeum nocki;;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/156049/0
Pyrrhosoma elisabethae;Greek Red Damsel;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/60274/0
Belgrandiella austriana;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/2725/0
Allium rouyi;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61599/0
Belgrandiella wawrai;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/2737/0
Saxifraga tombeanensis;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/161993/0
Pseudosphegesthes bergeri;;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/157538/0
Podarcis lilfordi;Lilford's Wall Lizard;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/17795/0
Gallotia simonyi;El Hierro Giant Lizard;Critically Endangered;Stable;http://www.iucnredlist.org/apps/redlist/details/8881/0
Raja undulata;Undulate Ray;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/161425/0
anguilla anguilla;European Eel;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/60344/0
Algyroides marchi;Spanish Algyroides;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/840/0
Cheirolophus crassifolius;Maltese Centaury;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61621/0
Senecio alboranicus;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/61626/0
Aphanius iberus;Spanish Toothcarp;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/1846/0
Isotomus jarmilae;;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/157864/0
Saponaria jagelii;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61639/0
Salvelinus willoughbii;;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/135427/0
Belgrandiella kreisslorum;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/155661/0
Dipturus batis;Blue Skate;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/39397/0
Echium handiense;;Critically Endangered;Stable;http://www.iucnredlist.org/apps/redlist/details/61658/0
Rhinobatos rhinobatos;Common Guitarfish;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/63131/0
